player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_bonus,long_form_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_bonus,short_form_bps,short_form_bps_90,fbref_squads_made
232223,Balogun,Arsenal,FWD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
58822,Cédric,Arsenal,DEF,59,0,0,0,223.0,0.0242,0.0726,1.126,0.0,0.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,0.060000000000000005,0.18,2.79,0.0,56.0,22.6009,0.0,0.0,0.0,0.0,0.0,0.0,0
153256,M.Elneny,Arsenal,MID,25,0,0,0,112.0,0.0,0.0006,0.3713,0.0,1.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,0.0,0.00074,0.4621,0.0,39.0,31.3393,0.0,0.0,0.0,0.0,12.0,1080.0,0
438098,Fábio Vieira,Arsenal,MID,290,2,0,0,702.0,0.2296,0.1995,0.6847,0.2564,155.0,0.6735,0.0639,0.6387,0.0,1.4643,0.8265,1.8167,0.7383,1.7907,1.55593,5.3406,2.0,201.0,25.7692,1.1600000000000001,0.11,1.1,0.0,30.0,17.4194,2
226597,Gabriel,Arsenal,DEF,3042,34,0,0,3973.0,0.0692,0.0118,0.8268,0.3851,450.0,0.04,0.008,0.88,0.4,1.4643,0.8265,1.8167,0.7383,3.0539,0.5202600000000001,36.4987,17.0,843.0,19.0964,0.2,0.04,4.4,2.0,97.0,19.4,34
219847,Havertz,Arsenal,MID,2627,30,0,0,3128.0,0.3082,0.0754,0.7987,0.374,252.0,0.4143,0.0393,0.5143,0.0,1.4643,0.8265,1.8167,0.7383,10.7121,2.62226,27.7601,13.0,360.0,10.3581,1.1600000000000001,0.11,1.44,0.0,42.0,15.0,30
205651,G.Jesus,Arsenal,FWD,1470,17,0,0,2426.0,0.3121,0.0598,0.6085,0.7049,347.0,0.2334,0.0648,1.0478,0.0,1.4643,0.8265,1.8167,0.7383,8.412,1.61071,16.4028,19.0,452.0,16.7683,0.9,0.25,4.04,0.0,25.0,6.4841,17
85955,Jorginho,Arsenal,MID,913,10,0,0,2340.0,0.0096,0.034,0.6388,0.1923,195.0,0.0185,0.0738,1.1308,0.0,1.4643,0.8265,1.8167,0.7383,0.25,0.88479,16.6089,5.0,413.0,15.8846,0.04,0.16,2.45,0.0,22.0,10.1538,10
440854,Kiwior,Arsenal,DEF,942,11,0,0,606.0,0.0624,0.0089,1.0812,0.1485,90.0,0.0,0.02,0.03,0.0,1.4643,0.8265,1.8167,0.7383,0.42,0.06,7.28,1.0,150.0,22.2772,0.0,0.02,0.03,0.0,25.0,25.0,11
479683,Marquinhos,Arsenal,MID,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,0.0,0.0,0.0,0.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0
444145,Martinelli,Arsenal,MID,2010,24,0,0,3332.0,0.1941,0.1439,0.7953,0.4862,210.0,0.0857,0.2443,0.6471,0.0,1.4643,0.8265,1.8167,0.7383,7.1859,5.3285100000000005,29.4429,18.0,764.0,20.6363,0.2,0.5700000000000001,1.5100000000000002,0.0,57.0,24.4286,24
205533,Nketiah,Arsenal,FWD,1065,10,0,0,1750.0,0.5239,0.074,0.9198,0.5143,409.0,0.3191,0.0242,0.5699,0.6601,1.4643,0.8265,1.8167,0.7383,10.186399999999999,1.43912,17.8859,10.0,317.0,16.3029,1.45,0.11,2.5900000000000003,3.0,92.0,20.2445,10
184029,Ødegaard,Arsenal,MID,3098,35,0,0,3921.0,0.2154,0.1441,0.8123,0.8263,437.0,0.2513,0.1606,0.9021,0.6178,1.4643,0.8265,1.8167,0.7383,9.383700000000001,6.27981,35.3883,36.0,974.0,22.3565,1.22,0.78,4.38,3.0,84.0,17.2998,35
167199,Thomas,Arsenal,MID,785,9,0,0,2730.0,0.0531,0.061,0.8649,0.1978,15.0,0.0,0.12,0.0,0.0,1.4643,0.8265,1.8167,0.7383,1.6116,1.85149,26.2367,6.0,526.0,17.3407,0.0,0.02,0.0,0.0,3.0,18.0,9
195735,Pepe,Arsenal,MID,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
225321,Ramsdale,Arsenal,GK,540,6,0,0,3780.0,0.0,0.0006,0.8235,0.2143,0.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,0.0,0.026189999999999998,34.5887,9.0,719.0,17.119,0.0,0.0,0.0,0.0,0.0,0.0,6
115918,Rúnarsson,Arsenal,GK,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4643,0.8265,1.8167,0.7383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
