player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_unweighted_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_bonus,long_form_bps,long_form_unweighted_expected_goals,long_form_unweighted_expected_assists,long_form_unweighted_expected_goals_conceded,long_form_unweighted_bonus,long_form_unweighted_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_bonus,short_form_bps,short_form_unweighted_minutes,short_form_bps_90,now_cost,status,season_subs,fbref_starts,fbref_squads_made
438098,Fábio Vieira,Arsenal,MID,0,0,0,0,1.0,290,0.306,0.351,0.603,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0034,0.0039,0.0067,0.0,0.1597,1.25,0.64,1.83,0,67,14.373,0.0,0.0,0.0,0,0,0,0.0,54,u,0,0,0
205651,G.Jesus,Arsenal,FWD,600,6,11,0,98.0,2070,0.4582,0.1064,0.8205,1.014,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.4989,0.1159,0.8934,1.1041,25.1744,9.32,3.7800000000000002,17.490000000000002,16,423,23.1193,0.0,0.0,0.0,0,0,0,0.0,65,i,11,6,17
226597,Gabriel,Arsenal,DEF,2363,28,0,0,459.3,5405,0.0696,0.043,0.7913,0.2699,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.355,0.2196,4.0384,1.3774,91.6246,7.18,1.86,49.27,17,1135,17.9539,0.0,0.0,0.0,0,0,0,0.0,61,i,0,28,28
219847,Havertz,Arsenal,FWD,1872,21,2,0,285.0,4499,0.4623,0.0868,0.8412,0.6998,33,0.3818,0.0545,0.8727,0.0,1.7106,1.0572,2.102,1.554,1.4641,0.2748,2.6637,2.2159,51.8604,21.89,5.53,40.35,29,858,16.377,0.14,0.02,0.32,0,3,33,8.1818,77,a,2,21,23
463748,Hein,Arsenal,GK,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,40,u,0,0,0
445122,J.Timber,Arsenal,DEF,2415,27,3,0,540.1,2485,0.0548,0.0452,0.7791,0.4426,90,0.0,0.07,1.75,0.0,1.7106,1.0572,2.102,1.554,0.3287,0.2712,4.6753,2.6558,102.7563,1.23,1.32,21.37,9,430,17.1229,0.0,0.07,1.75,0,16,90,16.0,55,i,3,27,30
85955,Jorginho,Arsenal,MID,701,9,6,0,183.0,1614,0.0073,0.0704,0.8065,0.0077,1,0.0,0.0,19.8,0.0,1.7106,1.0572,2.102,1.554,0.0149,0.1431,1.6399,0.0156,29.68,0.16,2.36,14.47,1,294,14.5967,0.0,0.0,0.22,0,3,1,270.0,46,a,6,9,15
440854,Kiwior,Arsenal,DEF,1117,10,7,0,617.7,2059,0.0147,0.0269,1.1842,0.2687,540,0.0067,0.0233,1.3233,0.3333,1.7106,1.0572,2.102,1.554,0.1011,0.1843,8.1275,1.8441,107.7559,0.91,0.89,19.86,3,438,15.7002,0.04,0.14,7.94,2,106,540,17.6667,49,a,7,10,17
444145,Martinelli,Arsenal,MID,2284,25,8,0,785.8,4294,0.3228,0.1594,1.1694,0.0812,497,0.3712,0.1648,1.4306,0.0,1.7106,1.0572,2.102,1.554,2.8181,1.392,10.2105,0.709,135.6841,13.49,9.64,41.1,12,826,15.5403,2.05,0.9099999999999999,7.9,0,97,497,17.5654,65,a,8,25,33
499175,Nwaneri,Arsenal,MID,882,11,15,0,361.1,895,0.1088,0.1728,0.5384,0.2948,115,0.1565,0.1643,0.6339,0.0,1.7106,1.0572,2.102,1.554,0.4364,0.6932,2.1601,1.1829,93.7006,1.19,1.83,5.51,4,254,23.3538,0.2,0.21000000000000002,0.81,0,47,115,36.7826,43,a,15,11,26
184029,Ødegaard,Arsenal,MID,2321,26,4,0,815.1,5419,0.163,0.2485,1.0192,0.5484,460,0.1135,0.2133,1.3676,0.7826,1.7106,1.0572,2.102,1.554,1.4763,2.2506,9.2303,4.9665,214.4451,12.38,16.84,47.42,37,1232,23.6781,0.58,1.09,6.989999999999999,4,154,460,30.1304,82,a,4,26,30
154561,Raya,Arsenal,GK,3420,38,0,0,1065.1,6300,0.0,0.0015,1.0072,0.1799,540,0.0,0.0033,1.3233,0.1667,1.7106,1.0572,2.102,1.554,0.0,0.0178,11.9198,2.1295,168.4276,0.0,0.07,57.54,16,1124,14.232,0.0,0.02,7.94,1,82,540,13.6667,56,a,0,38,38
204480,Rice,Arsenal,MID,2823,33,2,0,894.1,6048,0.1505,0.1506,0.9132,0.8013,415,0.2017,0.0867,1.1147,1.3012,1.7106,1.0572,2.102,1.554,1.4954,1.4959,9.0719,7.9605,215.3514,7.04,10.73,54.21,34,1371,21.6772,0.9299999999999999,0.4,5.14,6,112,415,24.2892,63,a,2,33,35
223340,Saka,Arsenal,MID,1724,20,5,0,475.1,4646,0.4301,0.4154,1.2278,0.4737,360,0.4175,0.4575,1.375,0.0,1.7106,1.0572,2.102,1.554,2.2705,2.1929,6.4813,2.5004,91.6449,22.27,18.68,43.38,47,1284,17.3606,1.67,1.83,5.5,0,40,360,10.0,104,a,5,20,25
462424,Saliba,Arsenal,DEF,3039,35,0,0,899.5,6459,0.0548,0.0367,1.0485,0.391,405,0.06,0.0156,1.5356,0.0,1.7106,1.0572,2.102,1.554,0.5473,0.3667,10.4796,3.9082,159.6069,4.12,2.18,58.64,27,1345,15.9696,0.27,0.07,6.91,0,57,405,12.6667,64,i,0,35,35
167199,Thomas,Arsenal,MID,2793,31,4,0,843.2,3578,0.075,0.0907,1.1152,0.1953,450,0.054,0.092,1.554,0.0,1.7106,1.0572,2.102,1.554,0.7023,0.8493,10.4485,1.8293,158.9873,2.7,3.22,39.28,8,709,16.9697,0.27,0.46,7.7700000000000005,0,69,450,13.8,49,a,4,31,35
192895,Tierney,Arsenal,DEF,250,2,11,0,159.8,250,0.1414,0.1321,0.9895,1.1264,97,0.1577,0.0464,1.2619,1.8557,1.7106,1.0572,2.102,1.554,0.251,0.2345,1.7569,2.0,66.2519,0.38,0.54,2.69,2,99,37.3133,0.17,0.05,1.3599999999999999,2,45,97,41.7526,43,a,11,2,13
223723,Tomiyasu,Arsenal,DEF,6,0,1,0,12.9,1146,0.2902,0.0495,1.0835,0.2505,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0416,0.0071,0.1553,0.0359,2.6505,1.92,0.6799999999999999,14.07,4,246,18.4919,0.0,0.0,0.0,0,0,0,0.0,48,i,1,0,1
116216,Trossard,Arsenal,MID,2546,28,10,0,861.6,4179,0.2557,0.1511,1.0227,0.7388,454,0.3211,0.1784,1.3242,1.1894,1.7106,1.0572,2.102,1.554,2.4476,1.4467,9.7905,7.0724,199.5535,15.03,7.08,38.22,29,959,20.8447,1.6199999999999999,0.8999999999999999,6.68,6,135,454,26.7621,67,a,10,28,38
198869,White,Arsenal,DEF,1195,13,4,0,466.3,4182,0.0402,0.1811,1.2552,0.0214,432,0.0167,0.1792,1.2125,0.0,1.7106,1.0572,2.102,1.554,0.2082,0.9383,6.5033,0.1111,92.9264,1.73,4.96,41.83,14,987,17.9356,0.08,0.86,5.819999999999999,0,88,432,18.3333,62,a,4,13,17
206325,Zinchenko,Arsenal,DEF,518,5,10,0,219.6,2235,0.202,0.1556,0.5434,0.5673,165,0.2564,0.2018,0.5564,1.0909,1.7106,1.0572,2.102,1.554,0.4928,0.3796,1.3258,1.3841,60.2703,1.25,3.17,15.540000000000001,18,609,24.7009,0.47,0.37,1.02,2,51,165,27.8182,48,a,10,5,15
69752,Neto,Arsenal,GK,180,2,0,0,28.2,3060,0.0,0.0,1.3988,0.233,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.4383,0.073,5.1951,0.0,0.01,52.57,14,622,16.5801,0.0,0.0,0.0,0,0,0,0.0,41,a,0,2,2
103955,Sterling,Arsenal,MID,490,7,10,0,206.0,2462,0.2131,0.0865,0.9211,0.0272,142,0.0697,0.0634,1.1725,0.0,1.7106,1.0572,2.102,1.554,0.4877,0.1981,2.1083,0.0622,28.5706,7.82,4.81,37.16,8,387,12.4823,0.11,0.1,1.85,0,17,142,10.7746,67,a,10,7,17
466075,Calafiori,Arsenal,DEF,978,11,8,0,206.0,978,0.0605,0.0481,0.911,0.025,57,0.0,0.0158,1.2158,0.0,1.7106,1.0572,2.102,1.554,0.1384,0.1102,2.0851,0.0573,26.4577,0.86,0.6900000000000001,10.28,1,142,11.5592,0.0,0.01,0.77,0,9,57,14.2105,58,a,8,11,19
499169,Lewis-Skelly,Arsenal,MID,1362,15,8,0,629.7,1362,0.0143,0.0325,1.2511,0.0,408,0.0265,0.0331,1.5706,0.0,1.7106,1.0572,2.102,1.554,0.1004,0.2277,8.7532,0.0,108.2057,0.16,0.51,16.65,0,237,15.4653,0.12,0.15,7.12,0,75,408,16.5441,45,a,8,15,23
195384,Merino,Arsenal,MID,1575,17,11,0,568.7,1575,0.3819,0.0509,0.9722,0.4559,240,0.645,0.03,1.1662,0.0,1.7106,1.0572,2.102,1.554,2.4134,0.3217,6.1431,2.8808,108.4408,5.75,1.18,15.71,8,326,17.1614,1.72,0.08,3.11,0,38,240,14.25,60,a,11,17,28
498046,Oulad M'hand,Arsenal,MID,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,45,a,0,0,0
551221,Setford,Arsenal,GK,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,45,a,0,0,0
588793,Kacurri,Arsenal,DEF,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,40,u,0,0,0
588796,Kabia,Arsenal,MID,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,45,a,0,0,0
499167,Nichols,Arsenal,DEF,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,40,a,0,0,0
461025,Butler-Oyedeji,Arsenal,FWD,6,0,1,0,3.9,6,1.0477,0.0,0.5977,0.0,6,1.05,0.0,0.6,0.0,1.7106,1.0572,2.102,1.554,0.0454,0.0,0.0259,0.0,3.2421,0.07,0.0,0.04,0,5,74.8177,0.07,0.0,0.04,0,5,6,75.0,45,a,1,0,1
100051017,Arteta,Arsenal,UNK,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,15,a,0,0,0
616059,Porter,Arsenal,GK,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,40,a,0,0,0
538182,Gower,Arsenal,MID,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,45,a,0,0,0
514307,Jack Henry-Francis,Arsenal,MID,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,45,a,0,0,0
563324,Clarke,Arsenal,DEF,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7106,1.0572,2.102,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,40,a,0,0,0
215711,Bailey,Aston Villa,MID,1132,14,10,0,188.9,3195,0.1868,0.1898,1.2371,0.2451,1,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.3921,0.3983,2.5965,0.5145,34.0432,8.02,10.09,50.08,13,656,16.2196,0.0,0.0,0.0,0,5,1,450.0,62,a,10,14,24
88894,Barkley,Aston Villa,MID,567,3,17,0,99.0,3183,0.2939,0.0701,1.8754,0.789,23,0.4304,0.0783,3.7565,0.0,1.6053,1.4153,1.554,1.27,0.3233,0.0771,2.0629,0.8679,35.8338,5.7,3.16,67.16,9,664,32.5762,0.11,0.02,0.96,0,16,23,62.6087,52,a,17,3,20
491287,Barrenechea,Aston Villa,MID,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,49,u,0,0,0
195546,Buendia,Aston Villa,MID,89,0,12,0,15.0,89,0.7476,0.027,2.121,0.0,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.1246,0.0045,0.3535,0.0,4.6242,0.65,0.03,2.27,0,37,27.7452,0.0,0.0,0.0,0,0,0,0.0,51,u,12,0,12
199796,Cash,Aston Villa,DEF,2069,24,3,0,751.1,4207,0.0299,0.0393,1.2379,0.1183,510,0.0282,0.0088,1.1982,0.1765,1.6053,1.4153,1.554,1.27,0.2495,0.3278,10.3311,0.9869,129.5032,4.89,3.7,65.42,6,623,15.5176,0.16,0.05,6.79,1,94,510,16.5882,44,a,3,24,27
151589,Dendoncker,Aston Villa,MID,0,0,0,0,0.5,118,0.666,0.018,1.134,2.736,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0037,0.0001,0.0063,0.0152,0.2884,0.73,0.01,1.58,3,64,51.912,0.0,0.0,0.0,0,0,0,0.0,45,u,0,0,0
243557,Diaby,Aston Villa,MID,0,0,0,0,17.4,2168,0.3579,0.1624,1.7829,0.4453,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0692,0.0314,0.3447,0.0861,3.2813,7.4,4.24,35.75,10,429,16.9722,0.0,0.0,0.0,0,0,0,0.0,65,u,0,0,0
165659,Diego Carlos,Aston Villa,DEF,828,8,2,0,103.7,2637,0.0826,0.0089,1.4077,0.1217,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0952,0.0103,1.622,0.1402,10.2304,2.59,0.43,45.05,2,407,8.8788,0.0,0.0,0.0,0,0,0,0.0,45,u,2,8,10
101188,Digne,Aston Villa,DEF,2348,28,4,0,548.7,4753,0.0195,0.1363,1.3878,0.2114,199,0.0,0.1357,1.0312,0.4523,1.6053,1.4153,1.554,1.27,0.1186,0.8312,8.461,1.2891,95.2804,1.79,7.46,76.59,12,803,15.6283,0.0,0.30000000000000004,2.2800000000000002,1,39,199,17.6382,44,a,4,28,32
461421,Dobbin,Aston Villa,MID,0,0,0,0,1.2,226,0.12,0.0675,1.77,0.0,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.0016,0.0009,0.0236,0.0,0.2673,0.34,0.12,3.7199999999999998,0,54,20.0475,0.0,0.0,0.0,0,0,0,0.0,50,u,0,0,0
476344,Duran,Aston Villa,FWD,622,4,16,0,77.8,1083,0.6327,0.0244,1.4583,1.0402,0,0.0,0.0,0.0,0.0,1.6053,1.4153,1.554,1.27,0.5469,0.0211,1.2606,0.8992,22.5233,7.15,0.39,21.1,16,384,26.0552,0.0,0.0,0.0,0,0,0,0.0,57,u,16,4,20
