player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_defensive_contribution_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_defensive_contribution_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_defensive_contribution,long_form_bonus,long_form_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_defensive_contribution,short_form_bonus,short_form_bps,short_form_bps_90,fbref_squads_made
154561,Raya,Arsenal,GK,3330,37,0,0,6750,0.0,0.0013,0.8345,0.0,0.28,450,0.0,0.002,0.814,0.0,1.0,1.7351,0.8528,1.76,0.8417,0.0,0.1,62.59,0.0,21,1188,15.84,0.0,0.01,4.07,0,5,110,22.0,37
109745,Arrizabalaga,Arsenal,GK,90,1,0,0,2880,0.0019,0.0009,1.2441,0.0,0.2188,90,0.0,0.0,0.98,0.0,0.0,1.7351,0.8528,1.76,0.8417,0.06,0.03,39.81,0.0,7,417,13.0312,0.0,0.0,0.98,0,0,11,11.0,1
463748,Hein,Arsenal,GK,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.7351,0.8528,1.76,0.8417,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
551221,Setford,Arsenal,GK,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.7351,0.8528,1.76,0.8417,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
226597,Gabriel,Arsenal,DEF,2750,30,0,0,5113,0.0993,0.0521,0.7939,4.8758,0.6865,495,0.1745,0.0164,0.9091,8.1818,0.9091,1.7351,0.8528,1.76,0.8417,5.640000000000001,2.96,45.1,277.0,39,1183,20.8234,0.96,0.09,5.0,45,5,119,21.6364,30
462424,Saliba,Arsenal,DEF,2614,30,0,0,5653,0.0525,0.0396,0.8077,3.0727,0.4139,450,0.0,0.102,0.814,7.4,0.6,1.7351,0.8528,1.76,0.8417,3.3,2.49,50.730000000000004,193.0,26,1145,18.2293,0.0,0.51,4.07,37,3,121,24.2,30
466075,Calafiori,Arsenal,DEF,1697,22,0,0,2675,0.142,0.0488,0.6729,3.4318,0.2355,251,0.1578,0.0968,0.2725,2.51,0.7171,1.7351,0.8528,1.76,0.8417,4.22,1.45,20.0,102.0,7,531,17.8654,0.44,0.27,0.76,7,2,50,17.9283,22
445122,J.Timber,Arsenal,DEF,2452,28,0,0,4867,0.1098,0.0523,0.7127,2.7368,0.3329,0,0.0,0.0,0.0,0.0,0.0,1.7351,0.8528,1.76,0.8417,5.94,2.83,38.54,148.0,18,958,17.7152,0.0,0.0,0.0,0,0,0,0.0,28
440854,Kiwior,Arsenal,DEF,0,0,0,0,1117,0.0137,0.0234,1.1852,0.0,0.1611,0,0.0,0.0,0.0,0.0,0.0,1.7351,0.8528,1.76,0.8417,0.17,0.29000000000000004,14.709999999999999,0.0,2,178,14.342,0.0,0.0,0.0,0,0,0,0.0,0
499169,Lewis-Skelly,Arsenal,DEF,697,5,0,0,2059,0.0114,0.031,1.1216,1.0928,0.0,296,0.0,0.0365,0.7784,1.8243,0.0,1.7351,0.8528,1.76,0.8417,0.26,0.71,25.66,25.0,0,347,15.1676,0.0,0.12,2.5599999999999996,6,0,69,20.9797,5
