date,player_code,web_name,now_cost,transfers_in_event,transfers_out_event,net_velocity,velocity_ratio,trend
2026-09-04,154561,Raya,6.0,173959,191332,-17373,-0.0992,STABLE
2026-09-04,109745,Arrizabalaga,5.0,542,1078,-536,-0.0053,STABLE
2026-09-04,437495,Meslier,5.0,155,418,-263,-0.0026,STABLE
2026-09-04,226597,Gabriel,8.0,41611,290651,-249040,-1.6471,FALLING_LOCK
2026-09-04,445122,J.Timber,6.5,489,2248,-1759,-0.0176,STABLE
2026-09-04,462424,Saliba,6.0,1048,5158,-4110,-0.0409,STABLE
2026-09-04,499169,Lewis-Skelly,5.5,7884,11641,-3757,-0.0371,STABLE
2026-09-04,466075,Calafiori,5.7,440210,97377,342833,1.8197,RISING_LOCK
2026-09-04,448104,Hincapie,5.4,4173,31291,-27118,-0.2648,STABLE
2026-09-04,198869,White,5.5,140434,95076,45358,0.3965,STABLE
2026-09-04,500040,Mosquera,5.5,12925,86599,-73674,-0.6734,STABLE
2026-09-04,223340,Saka,9.5,118595,84326,34269,0.2818,STABLE
2026-09-04,204480,Rice,7.5,19490,212986,-193496,-1.5023,FALLING_LOCK
2026-09-04,232413,Eze,6.4,7226,35548,-28322,-0.2755,STABLE
2026-09-04,184029,Ødegaard,6.6,105879,144892,-39013,-0.3193,STABLE
2026-09-04,248857,Madueke,6.3,1093,6961,-5868,-0.0584,STABLE
2026-09-04,195384,Merino,5.9,2846,12676,-9830,-0.0973,STABLE
2026-09-04,444145,Martinelli,6.3,1146,5461,-4315,-0.043,STABLE
2026-09-04,481655,Zubimendi,5.4,3301,17475,-14174,-0.1395,STABLE
2026-09-04,616077,Dowman,5.4,562,1793,-1231,-0.0123,STABLE
2026-09-04,499175,Nwaneri,5.4,157,366,-209,-0.0021,STABLE
2026-09-04,438098,Fábio Vieira,5.5,175,262,-87,-0.0009,STABLE
2026-09-04,200641,Nelson,5.5,4,282,-278,-0.0028,STABLE
2026-09-04,224117,Gyökeres,7.3,7416,170268,-162852,-1.4859,FALLING_LOCK
2026-09-04,219847,Havertz,7.5,64172,117525,-53353,-0.4697,STABLE
2026-09-04,205651,G.Jesus,5.9,2250,9779,-7529,-0.0748,STABLE
2026-09-04,199798,Konsa,4.4,212238,173012,39226,0.3231,STABLE
