gameweek,team,pred_xp,actual_pts,bias,actual_goals
4,Arsenal,38.63,58.0,-19.37,7
4,Aston Villa,33.29,18.0,15.29,0
4,Bournemouth,33.65,38.0,-4.35,5
4,Brentford,26.72,32.0,-5.28,7
4,Brighton,34.6,95.0,-60.4,9
4,Chelsea,40.5,35.0,5.5,10
4,Coventry City,24.17,7.0,17.17,0
4,Crystal Palace,37.03,33.0,4.03,4
4,Everton,28.89,48.0,-19.11,4
4,Fulham,26.41,46.0,-19.59,4
4,Hull City,21.63,32.0,-10.37,4
4,Ipswich Town,22.82,39.0,-16.18,4
4,Leeds,33.69,65.0,-31.31,6
4,Liverpool,33.66,44.0,-10.34,6
4,Man City,31.33,47.0,-15.67,8
4,Man Utd,32.24,21.0,11.24,5
4,Newcastle,29.71,11.0,18.71,5
4,Nott'm Forest,27.34,35.0,-7.66,3
4,Spurs,35.89,43.0,-7.11,0
4,Sunderland,27.0,8.0,19.0,2
